1	GCF_000005845.2_ASM584v2_genomic.fna.gz	NC_000913.3:2877700-2878463	ecoli	10
2	GCF_000005845.2_ASM584v2_genomic.fna.gz	NC_000913.3:2904013-2904407	ecoli	10
3	GCF_000008865.2_ASM886v2_genomic.fna.gz	NC_002695.2:3598349-3598562	ecoli	11
4	GCF_000009565.1_ASM956v1_genomic.fna.gz	NC_012892.2:2717661-2717934	ecoli	93
5	GCF_000009565.1_ASM956v1_genomic.fna.gz	NC_012892.2:2736167-2736990	ecoli	93
1	GCF_000010245.2_ASM1024v1_genomic.fna.gz	NC_007779.1:2876356-2877119	ecoli	10
2	GCF_000010245.2_ASM1024v1_genomic.fna.gz	NC_007779.1:2902669-2903063	ecoli	10
6	GCF_000010385.1_ASM1038v1_genomic.fna.gz	NC_011415.1:3115019-3116390	ecoli	156
7	GCF_000010385.1_ASM1038v1_genomic.fna.gz	NC_011415.1:3142092-3143341	ecoli	156
8	GCF_000010745.1_ASM1074v1_genomic.fna.gz	NC_013353.1:3344750-3345206	ecoli	17
9	GCF_000010745.1_ASM1074v1_genomic.fna.gz	NC_013353.1:3370923-3371440	ecoli	17
10	GCF_000010765.1_ASM1076v1_genomic.fna.gz	NC_013364.1:3445982-3446255	ecoli	16
11	GCF_000010765.1_ASM1076v1_genomic.fna.gz	NC_013364.1:3471956-3472349	ecoli	16
12	GCF_000013265.1_ASM1326v1_genomic.fna.gz	NC_007946.1:886537-887045	ecoli	95
13	GCF_000013265.1_ASM1326v1_genomic.fna.gz	NC_007946.1:896105-896494	ecoli	95
14	GCF_000014845.1_ASM1484v1_genomic.fna.gz	NC_008563.1:888138-888466	ecoli	95
13	GCF_000014845.1_ASM1484v1_genomic.fna.gz	NC_008563.1:897526-897915	ecoli	95
15	GCF_000017745.1_ASM1774v1_genomic.fna.gz	NC_009801.1:3056469-3057231	ecoli	1132
16	GCF_000017745.1_ASM1774v1_genomic.fna.gz	NC_009801.1:3082930-3084484	ecoli	1132
17	GCF_000017765.1_ASM1776v1_genomic.fna.gz	NC_009800.1:985983-986188	ecoli	46
18	GCF_000017765.1_ASM1776v1_genomic.fna.gz	NC_009800.1:2895118-2895696	ecoli	46
19	GCF_000017765.1_ASM1776v1_genomic.fna.gz	NC_009800.1:2920651-2921839	ecoli	46
4	GCF_000017985.1_ASM1798v1_genomic.fna.gz	NC_012967.1:2772560-2772833	ecoli	93
5	GCF_000017985.1_ASM1798v1_genomic.fna.gz	NC_012967.1:2792512-2793335	ecoli	93
20	GCF_000019385.1_ASM1938v1_genomic.fna.gz	NC_010468.1:1016298-1017060	ecoli	3021
21	GCF_000019385.1_ASM1938v1_genomic.fna.gz	NC_010468.1:1018442-1019386	ecoli	3021
22	GCF_000019385.1_ASM1938v1_genomic.fna.gz	NC_010468.1:1044935-1046184	ecoli	3021
23	GCF_000019385.1_ASM1938v1_genomic.fna.gz	NC_010468.1:2984512-2984717	ecoli	3021
24	GCF_000019425.1_ASM1942v1_genomic.fna.gz	NC_010473.1:2968264-2969027	ecoli	1060
2	GCF_000019425.1_ASM1942v1_genomic.fna.gz	NC_010473.1:2994577-2994971	ecoli	1060
25	GCF_000019645.1_ASM1964v1_genomic.fna.gz	NC_010498.1:2950899-2952209	ecoli	354
3	GCF_000021125.1_ASM2112v1_genomic.fna.gz	NC_011353.1:3702619-3702832	ecoli	11
3	GCF_000022225.1_ASM2222v1_genomic.fna.gz	NC_013008.1:3657344-3657557	ecoli	11
1	GCF_000022345.1_ASM2234v1_genomic.fna.gz	NC_012759.1:2761534-2762297	ecoli	10
2	GCF_000022345.1_ASM2234v1_genomic.fna.gz	NC_012759.1:2787847-2788241	ecoli	10
4	GCF_000022665.1_ASM2266v1_genomic.fna.gz	NC_012971.2:2717667-2717940	ecoli	93
5	GCF_000022665.1_ASM2266v1_genomic.fna.gz	NC_012971.2:2736173-2736996	ecoli	93
26	GCF_000023365.1_ASM2336v1_genomic.fna.gz	NC_017625.1:979355-979749	ecoli	1060
27	GCF_000023365.1_ASM2336v1_genomic.fna.gz	NC_017625.1:1005299-1006062	ecoli	1060
28	GCF_000023665.1_ASM2366v1_genomic.fna.gz	NC_012947.1:1002907-1003730	ecoli	93
29	GCF_000023665.1_ASM2366v1_genomic.fna.gz	NC_012947.1:1021963-1022236	ecoli	93
30	GCF_000025165.1_ASM2516v1_genomic.fna.gz	NC_013941.1:3436172-3436386	ecoli	335
31	GCF_000025165.1_ASM2516v1_genomic.fna.gz	NC_013941.1:3462079-3462292	ecoli	335
12	GCF_000025745.1_ASM2574v1_genomic.fna.gz	NC_017628.1:933763-934271	ecoli	95
13	GCF_000025745.1_ASM2574v1_genomic.fna.gz	NC_017628.1:943331-943720	ecoli	95
32	GCF_000026245.1_ASM2624v1_genomic.fna.gz	NC_011748.1:3120000-3120944	ecoli	678
33	GCF_000026265.1_ASM2626v1_genomic.fna.gz	NC_011741.1:2926710-2927775	ecoli	1128
34	GCF_000026265.1_ASM2626v1_genomic.fna.gz	NC_011741.1:2953474-2954784	ecoli	1128
14	GCF_000026285.1_ASM2628v2_genomic.fna.gz	NC_011742.1:926567-926895	ecoli	95
13	GCF_000026285.1_ASM2628v2_genomic.fna.gz	NC_011742.1:935955-936344	ecoli	95
35	GCF_000027125.1_ASM2712v1_genomic.fna.gz	NC_017626.1:3138158-3138553	ecoli	414
36	GCF_000091005.1_ASM9100v1_genomic.fna.gz	NC_013361.1:3760815-3761332	ecoli	21
37	GCF_000091005.1_ASM9100v1_genomic.fna.gz	NC_013361.1:3787033-3787607	ecoli	21
